Cluster,Unique Key,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,Borough
2,37424076,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
2,29008380,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
0,24904755,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,BRONX,BRONX
0,39239323,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,BROOKLYN,BROOKLYN
1,34685100,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11203,BROOKLYN,BROOKLYN
0,26977144,Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10028,NEW YORK,MANHATTAN
0,26694354,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10002,NEW YORK,MANHATTAN
1,41891255,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11238,BROOKLYN,BROOKLYN
2,23836914,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11207,BROOKLYN,BROOKLYN
0,31619491,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11414,HOWARD BEACH,QUEENS
2,28713362,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
3,35145030,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10462,BRONX,BRONX
1,26382508,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11436,Jamaica,QUEENS
1,29872413,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10032,NEW YORK,MANHATTAN
2,40610491,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
0,37549445,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,NEW YORK,MANHATTAN
3,25020605,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,BRONX,BRONX
0,41775123,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10470,BRONX,BRONX
3,25080663,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10467,BRONX,BRONX
3,40698140,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10460,BRONX,BRONX
1,31431309,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11691,Far Rockaway,QUEENS
3,35191812,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10457,BRONX,BRONX
1,34647022,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10013,NEW YORK,MANHATTAN
0,36604488,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11222,BROOKLYN,BROOKLYN
3,34422269,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10452,BRONX,BRONX
1,23699137,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11372,JACKSON HEIGHTS,QUEENS
2,35163626,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
1,32412547,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11101,Long Island City,QUEENS
0,35819662,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10453,BRONX,BRONX
0,40686028,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,10033,NEW YORK,MANHATTAN
3,41784325,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10456,BRONX,BRONX
2,26245511,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
