Cluster,RPT_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BOROUGH,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,ZIPCODE
1,06/12/2012,BURGLARY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10453
3,06/11/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11208
1,10/24/2006,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10027
1,12/03/2008,GRAND LARCENY,COMPLETED,FELONY,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,10452
1,05/15/2017,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10025
4,07/27/2011,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE - APT. HOUSE,10304
2,04/10/2012,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10459
0,01/15/2011,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10302
1,10/27/2009,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11211
3,01/20/2017,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11203
2,01/19/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10472
1,10/22/2007,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11228
1,06/04/2011,BURGLARY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10472
3,10/26/2017,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11221
3,02/19/2012,GAMBLING,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING,11221
1,07/26/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11101
2,01/27/2018,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11229
5,10/04/2013,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10029
1,06/27/2008,ROBBERY,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11233
5,02/17/2017,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10033
1,10/15/2018,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10038
0,06/26/2016,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10306
0,11/22/2017,ADMINISTRATIVE CODE,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11208
2,01/11/2010,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10451
